"customerID";"FirstName";"LastName";"Adress";"City";"State";"Zip code";"PhoneNumber";"Email"
1;"Adam";"Johnson";"222 Apple St";"Saint Paul";"MN";55110;2147483647;"adam.johnson@gmail.com"
2;"Jack";"Jones";"3877 1st Ave";"Woodbury";"MN";55106;2147483647;"jack.johns@gmail.com"
3;"Amanda";"Smith";"120999 broadway Ave";"Hudson";"WI";54016;2147483647;"amanda.smith@yahoo.com"
4;"Tyler";"Williams";"1265 Rainey Ave";"River Falls";"WI";54022;2147483647;"tyler.williams@msn.com"
5;"Rose";"Davis";"7767 Hilltop Ct";"Minneapolis";"MN";55125;2147483647;"rose.davis@yahoo.com"
6;"Olivia";"Brown";"12211 Woodbury Ave";"Summerset";"WI";54022;2147483647;"olivia.brown@outlook.com"
7;"Ellen";"Miller";"122288 Circle St";"North Saint Paul";"MN";55106;2147483647;"ellen.miller@outlook.com"
8;"Gina";"Willson";"76544 45th St";"Apple Valley";"MN";55110;2147483647;"gina.wilson@gmail.com"
9;"Scott";"Jackson";"12 Clearnce St";"Highland";"MN";55105;2147483647;"scott.jackson@comcast.net"
10;"Tim";"Turner";"4555 Float Ct";"Frogtown";"MN";55025;2147483647;"tim.turner@yahoo.com"
